ItemType	Code	Equiv1	Equiv2	*ID	*CTCID	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	UICategory	RunewordCategory1	RunewordCategory2	Restricted	*eol
Any				0	ID0LVL0	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0												0
None	none			1	ID0LVL1	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0												0
Shield	shie	shld		2	ID0LVL2	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	3	40	4	0	3			0							armo	shlds	r_off			0
Armor	tors	armo		3	ID0LVL3	1	1	tors	tors			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							armo	armor	r_arm			0
Gold	gold	misc		4	ID0LVL4	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0												0
Bow Quiver	bowq	misl	seco	5	ID0LVL5	0	1	rarm	larm		bow	0	1	0	1			1	0	0	25	0	40	0	0	3			0							misc	ammo				0
Crossbow Quiver	xboq	misl	seco	6	ID0LVL6	0	1	rarm	larm		xbow	0	1	0	1			1	0	0	25	0	40	0	0	3			0							misc	ammo				0
Player Body Part	play	misc		7	ID0LVL7	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc					0
Herb	herb	misc		8	ID0LVL8	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0							misc					0
Potion	poti	misc		9	ID0LVL9	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	potis				0
Ring	ring	misc		10	ID0LVL10	0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	rings				0
Elixir	elix	misc		11	ID0LVL11	0	0					0	0	0	0			0	1	0	25	0	40	0	0	3			0							misc					0
Amulet	amul	misc		12	ID0LVL12	0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			3	invamu1	invamu2	invamu3				misc	amule				0
Charm	char	misc		13	ID0LVL13	0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch1	invch4	invch7				misc	charm				0
Not Used				14	ID0LVL14	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0												0
Boots	boot	armo	merc	15	ID0LVL15	1	1	feet	feet			0	0	0	0		1	0	0	3	25	3	40	3	0	3			0							armo	boots	r_arm			0
Gloves	glov	armo	merc	16	ID0LVL16	1	1	glov	glov			0	0	0	0		1	0	0	3	25	3	40	3	0	3			0							armo	glove	r_arm			0
Not Used				17	ID0LVL17	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0												0
Book	book	misc		18	ID0LVL18	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	scrlt				0
Belt	belt	armo	merc	19	ID0LVL19	1	1	belt	belt			0	0	0	0		1	0	0	2	25	2	40	2	0	3			0							armo	belts	r_arm			0
Gem	gem	sock		20	ID0LVL20	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	gems				0
Torch	torc	misc		21	ID0LVL21	0	1					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc					0
Scroll	scro	misc		22	ID0LVL22	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc					0
Not Used				23	ID0LVL23	0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0												0
Scepter	scep	rod		24	ID0LVL24	1	1	rarm	larm			0	0	0	0		1	0	0	6	25	6	40	6	0	1	pal		0							weap	scept	r_mel			0
Wand	wand	rod		25	ID0LVL25	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	3	40	3	0	1	nec		0							weap	wands	r_mel			0
Staff	staf	rod		26	ID0LVL26	1	1	rarm	larm			0	0	0	0		1	0	0	6	25	6	40	6	0	1	sor		0							weap	stave	r_mel			0
Bow	bow	miss		27	ID0LVL27	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	6	25	6	40	6	1	3			0							weap	bows	r_mel			0
