index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
The Gnasher	0	0		1					1		3	2	hax	Hand Axe		5	5000	dyel			invhaxu				str		8	15	openwounds		25	50	crush		10	25	dmg%		60	145	ease		50	50																														0
Deathspade	1	0		1					1		5	4	axe	Axe		5	5000	dgld			invaxeu				stupidity		2	2	dmg-min		8	15	att%		15	35	mana-kill		4	8	dmg%		70	125	ease		50	50																										0
Bladebone	2	0		1					1		9	7	2ax	Double Axe		5	5000	lgry	lgry						dmg-undead		100	200	att-undead		40	100	swing2		20	40	ac		20	60	fire-min		8	20	fire-max		21	40	dmg%		60	125	ease		50	50																		0
Mindrend	3	0		1					1		13	10	mpi	Military Pick		5	5000	lgrn			invmpiu				stupidity		2	2	regen-mana		20	50	ltng-min		1	15	ltng-max		20	45	att		80	160	dmg%		90	150	openwounds		15	15	ease		50	50																		0
Rakescar	4	0		1					1		17	13	wax	War Axe		5	5000	dgry	dgry						pois-min		128	128	pois-max		128	128	pois-len		50	50	att		50	200	res-pois		25	50	dmg%		150	150	swing2		30	50	ease		50	50																		0
Fechmars Axe	5	0		1					1		5	3	lax	Large Axe		5	5000	lpur	lpur						dmg%		100	130	freeze		3	3	res-cold		25	50	light		5	5	swing2		30	50	ease		50	50																										0
Goreshovel	6	0		1					1		9	6	bax	Broad Axe		5	5000	dpur	dpur						swing2		30	50	str		25	25	openwounds		30	60	dmg%		100	125	dmg-max		9	20	ease		50	50																										0
The Chieftan	7	0		1					1		12	9	btx	Battle Axe		5	5000	oran			invbtxu				dmg%		100	100	res-all		10	20	mana-kill		6	6	swing2		20	20	ltng-min		10	15	ltng-max		40	70	ease		50	50																						0
Brainhew	8	0		1					1		16	12	gax	Great Axe		5	5000	whit			invgaxu				dmg-min		14	14	mana		25	25	light		4	4	manasteal		10	13	dmg%		50	80	fire-min		15	20	fire-max		35	50	ease		50	50																		0
The Humongous	9	0		1					1		19	14	gix	Giant Axe		5	5000	blac	blac						str		20	30	dmg-min		9	15	dmg-max		15	25	crush		33	33	ease		50	50	dmg%		120	190																										0
